课程名称,第几讲,算法类别,题目名称
Advanced,第一章 动态规划,斜率优化DP,AcWing 303. 运输小猫
Advanced,第一章 动态规划,斜率优化DP,AcWing 302. 任务安排3
Advanced,第一章 动态规划,斜率优化DP,AcWing 301. 任务安排2
Advanced,第一章 动态规划,斜率优化DP,AcWing 300. 任务安排1
Advanced,第一章 动态规划,单调队列优化DP,AcWing 1091. 理想的正方形
Advanced,第一章 动态规划,单调队列优化DP,AcWing 1090. 绿色通道
Advanced,第一章 动态规划,单调队列优化DP,AcWing 1089. 烽火传递
Advanced,第一章 动态规划,单调队列优化DP,AcWing 1088. 旅行问题
Advanced,第一章 动态规划,单调队列优化DP,AcWing 1087. 修剪草坪
Advanced,第一章 动态规划,单调队列优化DP,AcWing 135. 最大子序和
Advanced,第一章 动态规划,数位DP,AcWing 1086. 恨7不成妻
Advanced,第一章 动态规划,数位DP,AcWing 1085. 不要62
Advanced,第一章 动态规划,数位DP,AcWing 1084. 数字游戏 II
Advanced,第一章 动态规划,数位DP,AcWing 1083. Windy数
Advanced,第一章 动态规划,数位DP,AcWing 1082. 数字游戏
Advanced,第一章 动态规划,数位DP,AcWing 1081. 度的数量
Advanced,第一章 动态规划,树形DP,AcWing 1077. 皇宫看守
Advanced,第一章 动态规划,树形DP,AcWing 323. 战略游戏
Advanced,第一章 动态规划,树形DP,AcWing 1074. 二叉苹果树
Advanced,第一章 动态规划,树形DP,AcWing 1075. 数字转换
Advanced,第一章 动态规划,树形DP,AcWing 1073. 树的中心
Advanced,第一章 动态规划,树形DP,AcWing 1072. 树的最长路径
Advanced,第一章 动态规划,区间DP,AcWing 321. 棋盘分割
Advanced,第一章 动态规划,区间DP,AcWing 1069. 凸多边形的划分
Advanced,第一章 动态规划,区间DP,AcWing 479. 加分二叉树
Advanced,第一章 动态规划,区间DP,AcWing 320. 能量项链
Advanced,第一章 动态规划,区间DP,AcWing 1068. 环形石子合并
Advanced,第一章 动态规划,状态压缩DP,AcWing 529. 宝藏
Advanced,第一章 动态规划,状态压缩DP,AcWing 524. 愤怒的小鸟
Advanced,第一章 动态规划,状态压缩DP,AcWing 292. 炮兵阵地
Advanced,第一章 动态规划,状态压缩DP,AcWing 327. 玉米田
Advanced,第一章 动态规划,状态压缩DP,AcWing 1064. 小国王
Advanced,第一章 动态规划,状态机模型,AcWing 1053. 修复DNA
Advanced,第一章 动态规划,状态机模型,AcWing 1052. 设计密码
Advanced,第一章 动态规划,状态机模型,AcWing 1058. 股票买卖 V
Advanced,第一章 动态规划,状态机模型,AcWing 1057. 股票买卖 IV
Advanced,第一章 动态规划,状态机模型,AcWing 1049. 大盗阿福
Advanced,第一章 动态规划,背包模型,AcWing 487. 金明的预算方案
Advanced,第一章 动态规划,背包模型,AcWing 734. 能量石
Advanced,第一章 动态规划,背包模型,AcWing 12. 背包问题求具体方案
Advanced,第一章 动态规划,背包模型,AcWing 11. 背包问题求方案数
Advanced,第一章 动态规划,背包模型,AcWing 10. 有依赖的背包问题
Advanced,第一章 动态规划,背包模型,AcWing 426. 开心的金明
Advanced,第一章 动态规划,背包模型,AcWing 1013. 机器分配
Advanced,第一章 动态规划,背包模型,AcWing 1020. 潜水员
Advanced,第一章 动态规划,背包模型,AcWing 8. 二维费用的背包问题
Advanced,第一章 动态规划,背包模型,AcWing 7. 混合背包问题
Advanced,第一章 动态规划,背包模型,AcWing 1019. 庆功会
Advanced,第一章 动态规划,背包模型,AcWing 6. 多重背包问题 III
Advanced,第一章 动态规划,背包模型,AcWing 532. 货币系统
Advanced,第一章 动态规划,背包模型,AcWing 1021. 货币系统
Advanced,第一章 动态规划,背包模型,AcWing 1023. 买书
Advanced,第一章 动态规划,背包模型,AcWing 278. 数字组合
Advanced,第一章 动态规划,背包模型,AcWing 1022. 宠物小精灵之收服
Advanced,第一章 动态规划,背包模型,AcWing 1024. 装箱问题
Advanced,第一章 动态规划,背包模型,AcWing 423. 采药
Advanced,第一章 动态规划,最长上升子序列模型,AcWing 272. 最长公共上升子序列
Advanced,第一章 动态规划,最长上升子序列模型,AcWing 187. 导弹防御系统
Advanced,第一章 动态规划,最长上升子序列模型,AcWing 1010. 拦截导弹
Advanced,第一章 动态规划,最长上升子序列模型,AcWing 1016. 最大上升子序列和
Advanced,第一章 动态规划,最长上升子序列模型,AcWing 1012. 友好城市
Advanced,第一章 动态规划,最长上升子序列模型,AcWing 482. 合唱队形
Advanced,第一章 动态规划,最长上升子序列模型,AcWing 1014. 登山
Advanced,第一章 动态规划,最长上升子序列模型,AcWing 1017. 怪盗基德的滑翔翼
Advanced,第一章 动态规划,数字三角形模型,AcWing 275. 传纸条
Advanced,第一章 动态规划,数字三角形模型,AcWing 1027. 方格取数
Advanced,第一章 动态规划,数字三角形模型,AcWing 1018. 最低通行费
Advanced,第一章 动态规划,数字三角形模型,AcWing 1015. 摘花生
Advanced,第二章 搜索,IDA*,AcWing 181. 回转游戏
Advanced,第二章 搜索,IDA*,AcWing 180. 排书
Advanced,第二章 搜索,双向DFS,AcWing 171. 送礼物
Advanced,第二章 搜索,迭代加深,AcWing 170. 加成序列
Advanced,第二章 搜索,DFS之剪枝与优化,AcWing 168. 生日蛋糕
Advanced,第二章 搜索,DFS之剪枝与优化,AcWing 167. 木棒
Advanced,第二章 搜索,DFS之剪枝与优化,AcWing 166. 数独
Advanced,第二章 搜索,DFS之剪枝与优化,AcWing 165. 小猫爬山
Advanced,第二章 搜索,DFS之搜索顺序,AcWing 1118. 分成互质组
Advanced,第二章 搜索,DFS之搜索顺序,AcWing 1117. 单词接龙
Advanced,第二章 搜索,DFS之搜索顺序,AcWing 1116. 马走日
Advanced,第二章 搜索,DFS之连通性模型,AcWing 1113. 红与黑
Advanced,第二章 搜索,DFS之连通性模型,AcWing 1112. 迷宫
Advanced,第二章 搜索,A*,AcWing 179. 八数码
Advanced,第二章 搜索,A*,AcWing 178. 第K短路
Advanced,第二章 搜索,双向广搜,AcWing 190. 字串变换
Advanced,第二章 搜索,双端队列广搜,AcWing 175. 电路维修
Advanced,第二章 搜索,最小步数模型,AcWing 1107. 魔板
Advanced,第二章 搜索,多源BFS,AcWing 173. 矩阵距离
Advanced,第二章 搜索,最短路模型,AcWing 1100. 抓住那头牛
Advanced,第二章 搜索,最短路模型,AcWing 188. 武士风度的牛
Advanced,第二章 搜索,最短路模型,AcWing 1076. 迷宫问题
Advanced,第二章 搜索,Flood Fill,AcWing 1106. 山峰和山谷
Advanced,第二章 搜索,Flood Fill,AcWing 1098. 城堡问题
Advanced,第二章 搜索,Flood Fill,AcWing 1097. 池塘计数
